JobID,title,company,experience,salary,location,job description,skills,post_date,webpage,company overview,industry,job highlights,All
1010,Data Scientist,Google India,0-1 years,INR 300000-600000 per annum,Chennai,Improve data quality using ETL techniques. Analyze large datasets to extract insights.,Feature Engineering ETL Pipelines Statistics & Probability Experimentation & A/B Testing Data Visualization,2025-02-13,http://narayanan.com/,"Google India focuses on search, cloud computing, and AI-driven technological solutions.",E-commerce,"Develop and maintain scalable, high-performance applications. Gain hands-on experience with cloud computing and AI technologies. Develop AI-driven models for real-world applications.","Data Scientist Google India Chennai Develop and maintain scalable, high-performance applications. Gain hands-on experience with cloud computing and AI technologies. Develop AI-driven models for real-world applications. Improve data quality using ETL techniques. Analyze large datasets to extract insights. Feature Engineering ETL Pipelines Statistics & Probability Experimentation & A/B Testing Data Visualization Google India focuses on search, cloud computing, and AI-driven technological solutions. E-commerce 0-1 years"
1011,Software Engineer,SAP Labs India,5-7 years,INR 300000-600000 per annum,Chennai,"Collaborate with teams to implement new features. Develop, test, and maintain software applications.",Object-Oriented Programming Data Structures & Algorithms Cloud Computing System Design Version Control (Git),2025-01-06,https://patel-bedi.com/,SAP Labs India focuses on enterprise software development and cloud solutions.,Healthcare,Be part of an agile team delivering high-quality software solutions. Opportunity to contribute to high-impact projects with global reach. Leverage data-driven insights to improve business processes.,"Software Engineer SAP Labs India Chennai Be part of an agile team delivering high-quality software solutions. Opportunity to contribute to high-impact projects with global reach. Leverage data-driven insights to improve business processes. Collaborate with teams to implement new features. Develop, test, and maintain software applications. Object-Oriented Programming Data Structures & Algorithms Cloud Computing System Design Version Control (Git) SAP Labs India focuses on enterprise software development and cloud solutions. Healthcare 5-7 years"
1012,Software Engineer,Wipro,7-10 years,INR 1200000-1800000 per annum,Mumbai,Ensure code quality and perform debugging. Troubleshoot production issues and deploy fixes.,Problem Solving Databases (SQL & NoSQL) API Development Data Structures & Algorithms Testing & Debugging,2025-01-28,http://iyengar.info/,"Wipro is a leading global information technology, consulting, and business process services company.",Automobile,Work closely with product managers to enhance user experience. Engage with customers to gather feedback and improve products. Collaborate with industry experts to build next-generation solutions.,"Software Engineer Wipro Mumbai Work closely with product managers to enhance user experience. Engage with customers to gather feedback and improve products. Collaborate with industry experts to build next-generation solutions. Ensure code quality and perform debugging. Troubleshoot production issues and deploy fixes. Problem Solving Databases (SQL & NoSQL) API Development Data Structures & Algorithms Testing & Debugging Wipro is a leading global information technology, consulting, and business process services company. Automobile 7-10 years"
1013,AI Researcher,Infosys,10+ years,INR 1200000-1800000 per annum,Surat,Develop real-world AI applications. Conduct AI-driven data analysis.,Bayesian Learning Optimization Techniques Reinforcement Learning AI Ethics Natural Language Processing (NLP),2025-02-18,https://www.kaur-ganesan.com/,Infosys is a multinational corporation providing IT consulting and outsourcing services worldwide.,IT,"Optimize existing applications for performance and scalability. Be part of an agile team delivering high-quality software solutions. Develop and maintain scalable, high-performance applications.","AI Researcher Infosys Surat Optimize existing applications for performance and scalability. Be part of an agile team delivering high-quality software solutions. Develop and maintain scalable, high-performance applications. Develop real-world AI applications. Conduct AI-driven data analysis. Bayesian Learning Optimization Techniques Reinforcement Learning AI Ethics Natural Language Processing (NLP) Infosys is a multinational corporation providing IT consulting and outsourcing services worldwide. IT 10+ years"
1014,Product Manager,HCL,3-5 years,INR 2500000-3500000 per annum,Chennai,Collaborate with engineering and design teams. Work with stakeholders for strategic planning.,Stakeholder Management Product Strategy Business Acumen Competitive Analysis Agile & Scrum,2025-02-24,http://bhatti.com/,HCL Technologies is an Indian multinational IT services and consulting company.,Finance,Engage in continuous learning and skill development programs. Gain hands-on experience with cloud computing and AI technologies. Work on cutting-edge technologies in a fast-paced environment.,Product Manager HCL Chennai Engage in continuous learning and skill development programs. Gain hands-on experience with cloud computing and AI technologies. Work on cutting-edge technologies in a fast-paced environment. Collaborate with engineering and design teams. Work with stakeholders for strategic planning. Stakeholder Management Product Strategy Business Acumen Competitive Analysis Agile & Scrum HCL Technologies is an Indian multinational IT services and consulting company. Finance 3-5 years
1015,Frontend Developer,Cognizant,7-10 years,INR 2500000-3500000 per annum,Hyderabad,Develop and optimize user interfaces. Debug and resolve UI-related issues.,"Cross-Browser Compatibility HTML, CSS, JavaScript Web Accessibility Responsive Design Progressive Web Apps (PWA)",2025-01-23,https://gopal.com/,Cognizant is an American multinational IT services and consulting company.,Education,Engage with customers to gather feedback and improve products. Be part of an agile team delivering high-quality software solutions. Implement best security practices in software development.,"Frontend Developer Cognizant Hyderabad Engage with customers to gather feedback and improve products. Be part of an agile team delivering high-quality software solutions. Implement best security practices in software development. Develop and optimize user interfaces. Debug and resolve UI-related issues. Cross-Browser Compatibility HTML, CSS, JavaScript Web Accessibility Responsive Design Progressive Web Apps (PWA) Cognizant is an American multinational IT services and consulting company. Education 7-10 years"
1016,Machine Learning Engineer,Infosys,3-5 years,INR 2500000-3500000 per annum,Mumbai,Develop and deploy ML models. Preprocess large datasets for training.,"Hyperparameter Tuning Supervised & Unsupervised Learning Data Processing (Pandas, NumPy) Cloud ML Services Reinforcement Learning",2025-01-10,https://www.krishnamurthy.com/,Infosys is a multinational corporation providing IT consulting and outsourcing services worldwide.,Finance,Solve complex technical problems using advanced algorithms. Collaborate with industry experts to build next-generation solutions. Engage with customers to gather feedback and improve products.,"Machine Learning Engineer Infosys Mumbai Solve complex technical problems using advanced algorithms. Collaborate with industry experts to build next-generation solutions. Engage with customers to gather feedback and improve products. Develop and deploy ML models. Preprocess large datasets for training. Hyperparameter Tuning Supervised & Unsupervised Learning Data Processing (Pandas, NumPy) Cloud ML Services Reinforcement Learning Infosys is a multinational corporation providing IT consulting and outsourcing services worldwide. Finance 3-5 years"
1017,System Architect,Capgemini,7-10 years,INR 1800000-2500000 per annum,Bangalore,Optimize software and hardware performance. Ensure scalability and reliability of systems.,Infrastructure Planning Scalability & Performance Event-Driven Architecture Security Best Practices Cloud Computing,2025-01-09,https://www.dalal-narasimhan.com/,"Capgemini is a global leader in consulting, digital transformation, and engineering services.",Automobile,Develop AI-driven models for real-world applications. Be part of an agile team delivering high-quality software solutions. Leverage data-driven insights to improve business processes.,"System Architect Capgemini Bangalore Develop AI-driven models for real-world applications. Be part of an agile team delivering high-quality software solutions. Leverage data-driven insights to improve business processes. Optimize software and hardware performance. Ensure scalability and reliability of systems. Infrastructure Planning Scalability & Performance Event-Driven Architecture Security Best Practices Cloud Computing Capgemini is a global leader in consulting, digital transformation, and engineering services. Automobile 7-10 years"
1018,Machine Learning Engineer,Infosys,1-3 years,INR 600000-1200000 per annum,Pune,Integrate ML solutions into applications. Develop and deploy ML models.,"Cloud ML Services Model Deployment Data Processing (Pandas, NumPy) MLOps Big Data Frameworks (Spark, Hadoop)",2025-01-31,http://lad.org/,Infosys is a multinational corporation providing IT consulting and outsourcing services worldwide.,E-commerce,Gain hands-on experience with cloud computing and AI technologies. Contribute to open-source projects and company-wide initiatives. Work closely with product managers to enhance user experience.,"Machine Learning Engineer Infosys Pune Gain hands-on experience with cloud computing and AI technologies. Contribute to open-source projects and company-wide initiatives. Work closely with product managers to enhance user experience. Integrate ML solutions into applications. Develop and deploy ML models. Cloud ML Services Model Deployment Data Processing (Pandas, NumPy) MLOps Big Data Frameworks (Spark, Hadoop) Infosys is a multinational corporation providing IT consulting and outsourcing services worldwide. E-commerce 1-3 years"
1019,Backend Developer,SAP Labs India,10+ years,INR 1800000-2500000 per annum,Pune,Ensure data consistency and error handling. Implement secure authentication and authorization.,Database Management Authentication & Authorization Serverless Architecture Containerization (Docker) Scalability & Performance,2025-02-26,https://gupta.com/,SAP Labs India focuses on enterprise software development and cloud solutions.,Finance,Flexible work hours and remote work opportunities available. Be part of an agile team delivering high-quality software solutions. Contribute to open-source projects and company-wide initiatives.,Backend Developer SAP Labs India Pune Flexible work hours and remote work opportunities available. Be part of an agile team delivering high-quality software solutions. Contribute to open-source projects and company-wide initiatives. Ensure data consistency and error handling. Implement secure authentication and authorization. Database Management Authentication & Authorization Serverless Architecture Containerization (Docker) Scalability & Performance SAP Labs India focuses on enterprise software development and cloud solutions. Finance 10+ years
1020,Cybersecurity Analyst,IBM India,5-7 years,INR 2500000-3500000 per annum,Surat,Ensure compliance with security standards. Develop and implement firewalls and intrusion detection.,Secure Coding Incident Response Compliance & Regulations SIEM Tools Risk Assessment,2025-02-22,https://iyer.com/,"IBM India offers AI, cloud computing, and enterprise technology solutions.",Finance,Implement best security practices in software development. Participate in hackathons and innovation challenges within the company. Opportunity to contribute to high-impact projects with global reach.,"Cybersecurity Analyst IBM India Surat Implement best security practices in software development. Participate in hackathons and innovation challenges within the company. Opportunity to contribute to high-impact projects with global reach. Ensure compliance with security standards. Develop and implement firewalls and intrusion detection. Secure Coding Incident Response Compliance & Regulations SIEM Tools Risk Assessment IBM India offers AI, cloud computing, and enterprise technology solutions. Finance 5-7 years"
1021,Backend Developer,Wipro,1-3 years,INR 2500000-3500000 per annum,Mumbai,Develop and optimize server-side applications. Debug and resolve backend performance issues.,Scalability & Performance Serverless Architecture Caching Strategies Load Balancing Containerization (Docker),2025-02-06,https://konda.com/,"Wipro is a leading global information technology, consulting, and business process services company.",Education,Participate in hackathons and innovation challenges within the company. Engage with customers to gather feedback and improve products. Leverage data-driven insights to improve business processes.,"Backend Developer Wipro Mumbai Participate in hackathons and innovation challenges within the company. Engage with customers to gather feedback and improve products. Leverage data-driven insights to improve business processes. Develop and optimize server-side applications. Debug and resolve backend performance issues. Scalability & Performance Serverless Architecture Caching Strategies Load Balancing Containerization (Docker) Wipro is a leading global information technology, consulting, and business process services company. Education 1-3 years"
1022,Backend Developer,Amazon India,5-7 years,INR 1200000-1800000 per annum,Jaipur,Integrate third-party APIs and services. Implement secure authentication and authorization.,Containerization (Docker) Authentication & Authorization RESTful APIs Serverless Architecture Load Balancing,2025-02-23,http://www.mall.net/,Amazon India is a leading e-commerce platform providing retail and cloud services.,Finance,Collaborate with cross-functional teams to develop innovative solutions. Implement best security practices in software development. Engage in continuous learning and skill development programs.,Backend Developer Amazon India Jaipur Collaborate with cross-functional teams to develop innovative solutions. Implement best security practices in software development. Engage in continuous learning and skill development programs. Integrate third-party APIs and services. Implement secure authentication and authorization. Containerization (Docker) Authentication & Authorization RESTful APIs Serverless Architecture Load Balancing Amazon India is a leading e-commerce platform providing retail and cloud services. Finance 5-7 years
1023,Cybersecurity Analyst,Deloitte,1-3 years,INR 1800000-2500000 per annum,Hyderabad,Provide security awareness training. Research emerging threats and countermeasures.,Firewalls & IDS/IPS Secure Coding Threat Intelligence Penetration Testing Incident Response,2025-01-16,https://kohli.net/,"Deloitte provides audit, consulting, financial advisory, risk management, and tax services.",Automobile,Opportunity to contribute to high-impact projects with global reach. Opportunity to lead and mentor junior team members. Leverage data-driven insights to improve business processes.,"Cybersecurity Analyst Deloitte Hyderabad Opportunity to contribute to high-impact projects with global reach. Opportunity to lead and mentor junior team members. Leverage data-driven insights to improve business processes. Provide security awareness training. Research emerging threats and countermeasures. Firewalls & IDS/IPS Secure Coding Threat Intelligence Penetration Testing Incident Response Deloitte provides audit, consulting, financial advisory, risk management, and tax services. Automobile 1-3 years"
1024,Machine Learning Engineer,Capgemini,0-1 years,INR 2500000-3500000 per annum,Delhi,Optimize model training for performance. Develop and deploy ML models.,"Hyperparameter Tuning Feature Engineering Neural Networks & Deep Learning Big Data Frameworks (Spark, Hadoop) Reinforcement Learning",2025-02-08,http://www.nanda.com/,"Capgemini is a global leader in consulting, digital transformation, and engineering services.",Finance,Solve complex technical problems using advanced algorithms. Develop AI-driven models for real-world applications. Engage in continuous learning and skill development programs.,"Machine Learning Engineer Capgemini Delhi Solve complex technical problems using advanced algorithms. Develop AI-driven models for real-world applications. Engage in continuous learning and skill development programs. Optimize model training for performance. Develop and deploy ML models. Hyperparameter Tuning Feature Engineering Neural Networks & Deep Learning Big Data Frameworks (Spark, Hadoop) Reinforcement Learning Capgemini is a global leader in consulting, digital transformation, and engineering services. Finance 0-1 years"
1025,Frontend Developer,Tech Mahindra,0-1 years,INR 2500000-3500000 per annum,Delhi,Optimize web applications for performance. Ensure smooth user interactions and animations.,"State Management (Redux, Vuex) Web Accessibility Testing Frameworks (Jest, Cypress) Web Performance Optimization Responsive Design",2025-02-27,http://gole-contractor.com/,Tech Mahindra offers IT services and business process outsourcing to various industries.,Finance,Engage in continuous learning and skill development programs. Opportunity to lead and mentor junior team members. Flexible work hours and remote work opportunities available.,"Frontend Developer Tech Mahindra Delhi Engage in continuous learning and skill development programs. Opportunity to lead and mentor junior team members. Flexible work hours and remote work opportunities available. Optimize web applications for performance. Ensure smooth user interactions and animations. State Management (Redux, Vuex) Web Accessibility Testing Frameworks (Jest, Cypress) Web Performance Optimization Responsive Design Tech Mahindra offers IT services and business process outsourcing to various industries. Finance 0-1 years"
1026,Machine Learning Engineer,Cognizant,7-10 years,INR 1200000-1800000 per annum,,Optimize model training for performance. Improve model accuracy with hyperparameter tuning.,"Neural Networks & Deep Learning Data Processing (Pandas, NumPy) Hyperparameter Tuning Supervised & Unsupervised Learning Feature Engineering",2025-01-04,http://ravel-walia.com/,Cognizant is an American multinational IT services and consulting company.,Healthcare,Opportunity to contribute to high-impact projects with global reach. Engage in continuous learning and skill development programs. Leverage data-driven insights to improve business processes.,"Machine Learning Engineer Cognizant  Opportunity to contribute to high-impact projects with global reach. Engage in continuous learning and skill development programs. Leverage data-driven insights to improve business processes. Optimize model training for performance. Improve model accuracy with hyperparameter tuning. Neural Networks & Deep Learning Data Processing (Pandas, NumPy) Hyperparameter Tuning Supervised & Unsupervised Learning Feature Engineering Cognizant is an American multinational IT services and consulting company. Healthcare 7-10 years"
1027,Cybersecurity Analyst,Deloitte,3-5 years,INR 1200000-1800000 per annum,Hyderabad,Implement network security policies. Ensure compliance with security standards.,Incident Response Secure Coding Firewalls & IDS/IPS Compliance & Regulations Network Security,2025-01-04,https://date.com/,"Deloitte provides audit, consulting, financial advisory, risk management, and tax services.",E-commerce,Collaborate with industry experts to build next-generation solutions. Engage in continuous learning and skill development programs. Work closely with product managers to enhance user experience.,"Cybersecurity Analyst Deloitte Hyderabad Collaborate with industry experts to build next-generation solutions. Engage in continuous learning and skill development programs. Work closely with product managers to enhance user experience. Implement network security policies. Ensure compliance with security standards. Incident Response Secure Coding Firewalls & IDS/IPS Compliance & Regulations Network Security Deloitte provides audit, consulting, financial advisory, risk management, and tax services. E-commerce 3-5 years"
1028,Software Engineer,HCL,7-10 years,INR 600000-1200000 per annum,Jaipur,Participate in agile development cycles. Develop REST APIs and backend services.,Object-Oriented Programming Testing & Debugging System Design Data Structures & Algorithms Cloud Computing,2025-01-01,https://www.lalla.net/,HCL Technologies is an Indian multinational IT services and consulting company.,E-commerce,Collaborate with industry experts to build next-generation solutions. Gain hands-on experience with cloud computing and AI technologies. Engage with customers to gather feedback and improve products.,Software Engineer HCL Jaipur Collaborate with industry experts to build next-generation solutions. Gain hands-on experience with cloud computing and AI technologies. Engage with customers to gather feedback and improve products. Participate in agile development cycles. Develop REST APIs and backend services. Object-Oriented Programming Testing & Debugging System Design Data Structures & Algorithms Cloud Computing HCL Technologies is an Indian multinational IT services and consulting company. E-commerce 7-10 years
1029,Backend Developer,Cognizant,1-3 years,INR 1200000-1800000 per annum,Kolkata,Work with caching and messaging queues. Write clean and maintainable backend code.,Scalability & Performance Database Management Serverless Architecture RESTful APIs Node.js/Python/Java,2025-02-10,https://saha.com/,Cognizant is an American multinational IT services and consulting company.,Automobile,Opportunity to lead and mentor junior team members. Opportunity to contribute to high-impact projects with global reach. Leverage data-driven insights to improve business processes.,Backend Developer Cognizant Kolkata Opportunity to lead and mentor junior team members. Opportunity to contribute to high-impact projects with global reach. Leverage data-driven insights to improve business processes. Work with caching and messaging queues. Write clean and maintainable backend code. Scalability & Performance Database Management Serverless Architecture RESTful APIs Node.js/Python/Java Cognizant is an American multinational IT services and consulting company. Automobile 1-3 years
1030,Software Engineer,Microsoft India,5-7 years,INR 600000-1200000 per annum,Jaipur,Participate in agile development cycles. Develop REST APIs and backend services.,API Development Problem Solving Data Structures & Algorithms CI/CD Testing & Debugging,2025-01-22,https://rai.com/,"Microsoft India provides enterprise software, cloud computing, and AI solutions.",Education,Work closely with product managers to enhance user experience. Gain hands-on experience with cloud computing and AI technologies. Contribute to open-source projects and company-wide initiatives.,"Software Engineer Microsoft India Jaipur Work closely with product managers to enhance user experience. Gain hands-on experience with cloud computing and AI technologies. Contribute to open-source projects and company-wide initiatives. Participate in agile development cycles. Develop REST APIs and backend services. API Development Problem Solving Data Structures & Algorithms CI/CD Testing & Debugging Microsoft India provides enterprise software, cloud computing, and AI solutions. Education 5-7 years"
1031,Product Manager,Tech Mahindra,5-7 years,INR 1800000-2500000 per annum,Pune,Ensure user experience aligns with business goals. Define product vision and roadmap.,Product Strategy Data-Driven Decision Making Agile & Scrum Business Acumen Wireframing & Prototyping,2025-01-06,http://www.sinha.org/,Tech Mahindra offers IT services and business process outsourcing to various industries.,IT,Implement best security practices in software development. Solve complex technical problems using advanced algorithms. Collaborate with industry experts to build next-generation solutions.,Product Manager Tech Mahindra Pune Implement best security practices in software development. Solve complex technical problems using advanced algorithms. Collaborate with industry experts to build next-generation solutions. Ensure user experience aligns with business goals. Define product vision and roadmap. Product Strategy Data-Driven Decision Making Agile & Scrum Business Acumen Wireframing & Prototyping Tech Mahindra offers IT services and business process outsourcing to various industries. IT 5-7 years
1032,DevOps Engineer,Amazon India,7-10 years,INR 600000-1200000 per annum,Surat,Monitor and optimize system performance. Work with containerization tools like Docker.,"Load Balancing & Scalability CI/CD Pipelines Networking & Security Scripting (Bash, Python) Docker & Kubernetes",2025-01-07,https://misra-bir.com/,Amazon India is a leading e-commerce platform providing retail and cloud services.,Healthcare,Implement best security practices in software development. Be part of an agile team delivering high-quality software solutions. Collaborate with industry experts to build next-generation solutions.,"DevOps Engineer Amazon India Surat Implement best security practices in software development. Be part of an agile team delivering high-quality software solutions. Collaborate with industry experts to build next-generation solutions. Monitor and optimize system performance. Work with containerization tools like Docker. Load Balancing & Scalability CI/CD Pipelines Networking & Security Scripting (Bash, Python) Docker & Kubernetes Amazon India is a leading e-commerce platform providing retail and cloud services. Healthcare 7-10 years"
1033,Cybersecurity Analyst,Wipro,10+ years,INR 300000-600000 per annum,,Perform penetration testing and risk assessments. Work with cloud security best practices.,Secure Coding SIEM Tools Risk Assessment Firewalls & IDS/IPS Cryptography,2025-01-17,http://sheth.com/,"Wipro is a leading global information technology, consulting, and business process services company.",E-commerce,Develop AI-driven models for real-world applications. Contribute to open-source projects and company-wide initiatives. Collaborate with cross-functional teams to develop innovative solutions.,"Cybersecurity Analyst Wipro  Develop AI-driven models for real-world applications. Contribute to open-source projects and company-wide initiatives. Collaborate with cross-functional teams to develop innovative solutions. Perform penetration testing and risk assessments. Work with cloud security best practices. Secure Coding SIEM Tools Risk Assessment Firewalls & IDS/IPS Cryptography Wipro is a leading global information technology, consulting, and business process services company. E-commerce 10+ years"
1034,System Architect,Amazon India,7-10 years,INR 1800000-2500000 per annum,Pune,Define system integration strategies. Design and optimize system architectures.,API Design Event-Driven Architecture High Availability Scalability & Performance Software Architecture,2025-01-26,http://www.bhardwaj.biz/,Amazon India is a leading e-commerce platform providing retail and cloud services.,Education,Participate in hackathons and innovation challenges within the company. Engage in continuous learning and skill development programs. Be part of an agile team delivering high-quality software solutions.,System Architect Amazon India Pune Participate in hackathons and innovation challenges within the company. Engage in continuous learning and skill development programs. Be part of an agile team delivering high-quality software solutions. Define system integration strategies. Design and optimize system architectures. API Design Event-Driven Architecture High Availability Scalability & Performance Software Architecture Amazon India is a leading e-commerce platform providing retail and cloud services. Education 7-10 years
